,user_id,converted,event,datetime
7,U_102240038447,1,search,2018-09-01 14:20:36
3,U_102240038447,1,search,2018-09-01 14:51:52
12,U_102240038447,1,search,2018-09-01 14:58:40
1,U_102240038447,1,search,2018-09-01 15:18:09
17,U_102240038447,1,search,2018-09-01 16:19:37
20,U_102240038447,1,apply_filter,2018-09-01 22:40:18
11,U_102240038447,1,search,2018-09-02 00:40:21
22,U_102240038447,1,apply_filter,2018-09-02 10:05:09
13,U_102240038447,1,search,2018-09-02 17:13:50
27,U_102240038447,1,apply_filter,2018-09-02 18:32:33
16,U_102240038447,1,search,2018-09-02 19:10:08
18,U_102240038447,1,click_article_after_search,2018-09-02 19:32:29
26,U_102240038447,1,apply_filter,2018-09-02 20:19:46
2,U_102240038447,1,search,2018-09-02 22:39:19
15,U_102240038447,1,search,2018-09-03 01:34:43
0,U_102240038447,1,search,2018-09-03 02:46:21
8,U_102240038447,1,search,2018-09-03 03:25:29
19,U_102240038447,1,click_article_after_search,2018-09-03 18:43:45
5,U_102240038447,1,search,2018-09-03 21:32:06
23,U_102240038447,1,apply_filter,2018-09-03 23:57:23
24,U_102240038447,1,apply_filter,2018-09-04 02:14:36
31,U_102240038447,1,apply_filter,2018-09-04 03:30:56
4,U_102240038447,1,search,2018-09-04 03:49:29
10,U_102240038447,1,search,2018-09-04 07:12:30
28,U_102240038447,1,apply_filter,2018-09-04 07:28:46
29,U_102240038447,1,apply_filter,2018-09-04 10:46:34
30,U_102240038447,1,click_article_after_search,2018-09-04 11:13:26
14,U_102240038447,1,search,2018-09-04 11:40:07
25,U_102240038447,1,click_article_after_search,2018-09-04 14:24:39
9,U_102240038447,1,search,2018-09-04 19:54:11
6,U_102240038447,1,search,2018-09-04 21:26:21
21,U_102240038447,1,apply_filter,2018-09-04 23:28:06
7,U_108120231908,0,apply_filter,2018-09-01 14:20:36
3,U_108120231908,0,search,2018-09-01 14:51:52
12,U_108120231908,0,apply_filter,2018-09-01 14:58:40
1,U_108120231908,0,search,2018-09-01 15:18:09
17,U_108120231908,0,apply_filter,2018-09-01 16:19:37
11,U_108120231908,0,apply_filter,2018-09-02 00:40:21
13,U_108120231908,0,apply_filter,2018-09-02 17:13:50
16,U_108120231908,0,apply_filter,2018-09-02 19:10:08
2,U_108120231908,0,search,2018-09-02 22:39:19
15,U_108120231908,0,apply_filter,2018-09-03 01:34:43
0,U_108120231908,0,search,2018-09-03 02:46:21
8,U_108120231908,0,apply_filter,2018-09-03 03:25:29
5,U_108120231908,0,apply_filter,2018-09-03 21:32:06
4,U_108120231908,0,apply_filter,2018-09-04 03:49:29
10,U_108120231908,0,apply_filter,2018-09-04 07:12:30
14,U_108120231908,0,apply_filter,2018-09-04 11:40:07
9,U_108120231908,0,apply_filter,2018-09-04 19:54:11
6,U_108120231908,0,apply_filter,2018-09-04 21:26:21
7,U_11385130303,0,search,2018-09-01 14:20:36
3,U_11385130303,0,search,2018-09-01 14:51:52
12,U_11385130303,0,search,2018-09-01 14:58:40
1,U_11385130303,0,search,2018-09-01 15:18:09
17,U_11385130303,0,search,2018-09-01 16:19:37
20,U_11385130303,0,add_to_cart,2018-09-01 22:40:18
11,U_11385130303,0,search,2018-09-02 00:40:21
22,U_11385130303,0,add_to_cart,2018-09-02 10:05:09
13,U_11385130303,0,search,2018-09-02 17:13:50
16,U_11385130303,0,search,2018-09-02 19:10:08
18,U_11385130303,0,add_to_cart,2018-09-02 19:32:29
2,U_11385130303,0,search,2018-09-02 22:39:19
15,U_11385130303,0,search,2018-09-03 01:34:43
0,U_11385130303,0,search,2018-09-03 02:46:21
8,U_11385130303,0,search,2018-09-03 03:25:29
19,U_11385130303,0,add_to_cart,2018-09-03 18:43:45
5,U_11385130303,0,search,2018-09-03 21:32:06
23,U_11385130303,0,add_to_cart,2018-09-03 23:57:23
4,U_11385130303,0,search,2018-09-04 03:49:29
10,U_11385130303,0,search,2018-09-04 07:12:30
14,U_11385130303,0,search,2018-09-04 11:40:07
9,U_11385130303,0,search,2018-09-04 19:54:11
6,U_11385130303,0,search,2018-09-04 21:26:21
21,U_11385130303,0,add_to_cart,2018-09-04 23:28:06
7,U_120915899080,0,click_article_after_search,2018-09-01 14:20:36
3,U_120915899080,0,search,2018-09-01 14:51:52
12,U_120915899080,0,click_article_after_search,2018-09-01 14:58:40
1,U_120915899080,0,search,2018-09-01 15:18:09
17,U_120915899080,0,click_article_after_search,2018-09-01 16:19:37
20,U_120915899080,0,click_article_after_search,2018-09-01 22:40:18
11,U_120915899080,0,add_to_cart,2018-09-02 00:40:21
22,U_120915899080,0,click_article_after_search,2018-09-02 10:05:09
13,U_120915899080,0,click_article_after_search,2018-09-02 17:13:50
27,U_120915899080,0,click_article_after_search,2018-09-02 18:32:33
16,U_120915899080,0,click_article_after_search,2018-09-02 19:10:08
18,U_120915899080,0,click_article_after_search,2018-09-02 19:32:29
26,U_120915899080,0,click_article_after_search,2018-09-02 20:19:46
2,U_120915899080,0,search,2018-09-02 22:39:19
15,U_120915899080,0,click_article_after_search,2018-09-03 01:34:43
0,U_120915899080,0,search,2018-09-03 02:46:21
8,U_120915899080,0,click_article_after_search,2018-09-03 03:25:29
19,U_120915899080,0,add_to_cart,2018-09-03 18:43:45
5,U_120915899080,0,click_article_after_search,2018-09-03 21:32:06
23,U_120915899080,0,click_article_after_search,2018-09-03 23:57:23
24,U_120915899080,0,click_article_after_search,2018-09-04 02:14:36
4,U_120915899080,0,see_rarities,2018-09-04 03:49:29
10,U_120915899080,0,click_article_after_search,2018-09-04 07:12:30
